Loading solver states for value-error benchmarking...
Run 'catchup': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=None, extra_iterations_side=None
iter   89/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer_x=8000, buffer_o=7009, x_frozen=False, gap=-0.1396, value_loss_o=0.2203, policy_loss_o=1.0902, value_error_vs_solver=0.4617 (X=0.5314, O=0.3919), elapsed=6.4s
iter   90/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer_x=8000, buffer_o=7073, x_frozen=False, gap=-0.0356, value_loss_o=0.2202, policy_loss_o=1.0903, value_error_vs_solver=0.5386 (X=0.5564, O=0.5209), elapsed=5.7s
iter   91/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=8000, buffer_o=7131, x_frozen=False, gap=-0.0847, value_loss_o=0.2206, policy_loss_o=1.0939, value_error_vs_solver=0.5597 (X=0.6021, O=0.5174), elapsed=4.5s
iter   92/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer_x=8000, buffer_o=7183, x_frozen=False, gap=-0.1086, value_loss_o=0.2177, policy_loss_o=1.0970, value_error_vs_solver=0.5194 (X=0.5737, O=0.4651), elapsed=4.4s
iter   93/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=8000, buffer_o=7243, x_frozen=False, gap=-0.1636, value_loss_o=0.2173, policy_loss_o=1.1029, value_error_vs_solver=0.5210 (X=0.6028, O=0.4392), elapsed=5.3s
iter   94/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer_x=8000, buffer_o=7295, x_frozen=False, gap=-0.0596, value_loss_o=0.2162, policy_loss_o=1.1037, value_error_vs_solver=0.5362 (X=0.5660, O=0.5064), elapsed=4.1s
iter   95/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=8000, buffer_o=7353, x_frozen=False, gap=-0.1423, value_loss_o=0.2140, policy_loss_o=1.1050, value_error_vs_solver=0.5510 (X=0.6221, O=0.4798), elapsed=5.2s
iter   96/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=8000, buffer_o=7414, x_frozen=False, gap=-0.0812, value_loss_o=0.2122, policy_loss_o=1.1084, value_error_vs_solver=0.4932 (X=0.5338, O=0.4526), elapsed=5.3s
iter   97/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer_x=8000, buffer_o=7483, x_frozen=False, gap=0.0062, value_loss_o=0.2099, policy_loss_o=1.1086, value_error_vs_solver=0.4857 (X=0.4826, O=0.4888), elapsed=6.4s
iter   98/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer_x=8000, buffer_o=7544, x_frozen=False, gap=-0.0872, value_loss_o=0.2103, policy_loss_o=1.1107, value_error_vs_solver=0.4750 (X=0.5186, O=0.4314), elapsed=6.3s
iter   99/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=8000, buffer_o=7602, x_frozen=False, gap=-0.0823, value_loss_o=0.2072, policy_loss_o=1.1131, value_error_vs_solver=0.4880 (X=0.5292, O=0.4468), elapsed=6.5s
iter  100/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer_x=8000, buffer_o=7655, x_frozen=False, gap=-0.0702, value_loss_o=0.2055, policy_loss_o=1.1154, value_error_vs_solver=0.4933 (X=0.5284, O=0.4582), elapsed=4.7s
iter  101/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer_x=8000, buffer_o=7713, x_frozen=False, gap=-0.0896, value_loss_o=0.2057, policy_loss_o=1.1194, value_error_vs_solver=0.5333 (X=0.5781, O=0.4885), elapsed=4.6s
iter  102/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer_x=8000, buffer_o=7760, x_frozen=False, gap=-0.2051, value_loss_o=0.2051, policy_loss_o=1.1218, value_error_vs_solver=0.5243 (X=0.6269, O=0.4218), elapsed=4.7s
iter  103/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer_x=8000, buffer_o=7808, x_frozen=False, gap=-0.2122, value_loss_o=0.2040, policy_loss_o=1.1261, value_error_vs_solver=0.5217 (X=0.6278, O=0.4156), elapsed=4.3s
iter  104/300: games={'X': 17, 'O': 3, 'draw': 0}, buffer_x=8000, buffer_o=7858, x_frozen=False, gap=-0.1670, value_loss_o=0.2045, policy_loss_o=1.1293, value_error_vs_solver=0.4922 (X=0.5757, O=0.4087), elapsed=4.9s
