Loading solver states for value-error benchmarking...
Run 'twonet': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=None, extra_iterations_side=None
iter   98/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=8000, buffer_o=8000, value_loss=0.1638, policy_loss=0.6021, value_error_vs_solver=0.4731 (X=0.4421, O=0.5040), elapsed=4.1s
iter   99/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer_x=8000, buffer_o=8000, value_loss=0.1618, policy_loss=0.6020, value_error_vs_solver=0.5712 (X=0.5901, O=0.5524), elapsed=3.8s
iter  100/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer_x=8000, buffer_o=8000, value_loss=0.1597, policy_loss=0.5995, value_error_vs_solver=0.4815 (X=0.4602, O=0.5029), elapsed=4.9s
iter  101/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=8000, buffer_o=8000, value_loss=0.1565, policy_loss=0.6000, value_error_vs_solver=0.5190 (X=0.5309, O=0.5070), elapsed=4.3s
iter  102/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer_x=8000, buffer_o=8000, value_loss=0.1534, policy_loss=0.5967, value_error_vs_solver=0.4865 (X=0.4847, O=0.4882), elapsed=5.5s
iter  103/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer_x=8000, buffer_o=8000, value_loss=0.1531, policy_loss=0.5976, value_error_vs_solver=0.5167 (X=0.4955, O=0.5379), elapsed=4.5s
iter  104/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer_x=8000, buffer_o=8000, value_loss=0.1507, policy_loss=0.5959, value_error_vs_solver=0.5020 (X=0.5040, O=0.5000), elapsed=5.5s
iter  105/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer_x=8000, buffer_o=8000, value_loss=0.1486, policy_loss=0.5961, value_error_vs_solver=0.5378 (X=0.5655, O=0.5101), elapsed=4.7s
iter  106/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer_x=8000, buffer_o=8000, value_loss=0.1486, policy_loss=0.5965, value_error_vs_solver=0.5026 (X=0.5266, O=0.4786), elapsed=5.1s
iter  107/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer_x=8000, buffer_o=8000, value_loss=0.1472, policy_loss=0.5957, value_error_vs_solver=0.4856 (X=0.4934, O=0.4779), elapsed=4.6s
iter  108/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer_x=8000, buffer_o=8000, value_loss=0.1455, policy_loss=0.5943, value_error_vs_solver=0.5410 (X=0.5266, O=0.5554), elapsed=5.4s
